City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Pressure,Country,Date
0,Haiku-Pauwela,20.9219,-156.3051,75.96,67,20,24.0,1016,US,1733001057
1,Hawaiian Paradise Park,19.5933,-154.9731,78.08,69,0,8.05,1016,US,1733001058
2,Adamstown,-25.066,-130.1015,73.17,82,72,16.22,1021,PN,1733001059
3,Bethel,41.3712,-73.414,34.3,55,100,6.91,1015,US,1733001031
4,Chibougamau,49.9168,-74.3659,22.62,86,100,6.91,1004,CA,1733001061
5,Grytviken,-54.2811,-36.5092,37.49,78,56,10.96,991,GS,1733001063
6,San Pedro Pochutla,15.7333,-96.4667,89.71,48,0,5.75,1010,MX,1733001064
7,Port-aux-Français,-49.35,70.2167,43.03,95,79,31.23,986,TF,1733001065
8,Amarante do Maranhão,-5.5667,-46.7422,89.35,36,100,3.71,1006,BR,1733001066
9,Wailua Homesteads,22.0669,-159.378,76.26,76,20,6.91,1016,US,1733001067
10,Lobujya,27.95,86.8167,6.58,30,2,5.99,1025,NP,1733001069
11,Longyearbyen,78.2186,15.6401,15.64,53,40,14.97,1002,SJ,1733001070
12,Zaozërsk,69.4005,32.4476,19.8,85,73,22.37,1004,RU,1733001071
13,Minas de Marcona,-15.2119,-75.1103,67.21,68,78,16.69,1011,PE,1733001072
14,Ribeira Grande,38.5167,-28.7,61.2,67,40,5.75,1027,PT,1733001074
15,Brookings,44.3114,-96.7984,16.18,61,0,8.05,1027,US,1733001075
16,Amuntai,-2.4177,115.2494,74.93,98,100,2.04,1007,ID,1733001076
17,Ilulissat,69.2167,-51.1,-11.31,84,10,6.67,1026,GL,1733001077
18,Tiksi,71.6872,128.8694,-11.92,100,87,4.34,1025,RU,1733001078
19,Bredasdorp,-34.5322,20.0403,64.6,70,71,6.02,1022,ZA,1733001080
20,Waitangi,-43.9535,-176.5597,55.81,76,10,15.99,1021,NZ,1733001081
21,Tazacorte,28.629,-17.9293,70.14,48,0,8.01,1022,ES,1733001083
22,Naryan-Mar,67.6713,53.087,24.06,76,94,20.07,1001,RU,1733001085
23,Labrador City,52.9463,-66.9114,22.17,89,100,18.99,993,CA,1733001086
24,Fier,40.7239,19.5561,45.95,89,100,8.75,1016,AL,1733001087
25,Al Bayḑā’,32.7627,21.7551,54.54,78,1,20.2,1020,LY,1733001088
26,Chernyshevskiy,63.0128,112.4714,-38.97,100,36,1.74,1036,RU,1733001089
27,Invercargill,-46.4,168.35,59.02,74,4,11.99,1022,NZ,1733001091
28,Tamanghasset,22.785,5.5228,58.62,22,1,2.39,1023,DZ,1733001093
29,Puerto Natales,-51.7236,-72.4875,46.85,76,75,14.97,999,CL,1733001096
30,Olonkinbyen,70.9221,-8.7187,12.9,64,100,15.99,1020,SJ,1733001097
31,Kruisfontein,-34.0033,24.7314,59.07,85,67,5.77,1022,ZA,1733001098
32,Iqaluit,63.7506,-68.5145,24.53,68,100,12.66,1021,CA,1733001099
33,Mermoz Boabab,14.7065,-17.4758,76.78,73,0,4.61,1014,SN,1733001100
34,Gwadar,25.1216,62.3254,75.97,55,0,8.81,1012,PK,1733001102
35,Al Jawf,29.5,38.75,53.83,43,0,7.67,1021,SA,1733001103
36,Oeiras,-7.0253,-42.1311,93.85,25,100,1.41,1006,BR,1733001104
37,Kapaa,22.0752,-159.319,77.79,75,20,6.91,1016,US,1733001105
38,Antsiranana,-12.2787,49.2917,76.96,83,99,0.74,1011,MG,1733001107
39,Avarua,-21.2078,-159.775,78.85,73,40,13.8,1014,CK,1733001108
40,Tazovsky,67.4667,78.7,16.16,92,100,20.58,1005,RU,1733001109
41,Ca Mau,9.1769,105.15,73.53,84,100,3.47,1008,VN,1733001110
42,Yellowknife,62.456,-114.3525,5.74,94,100,8.55,1035,CA,1733001111
43,Samcheok,37.4406,129.1708,42.03,78,73,7.85,1015,KR,1733001113
44,Alpine,32.835,-116.7664,73.78,19,0,11.5,1016,US,1733001040
45,Keflavik,64.0049,-22.5624,27.03,68,40,28.77,1008,IS,1733001115
46,Port Mathurin,-19.6833,63.4167,75.65,82,90,18.95,1014,MU,1733001116
47,Taroa,8.7058,171.2275,81.9,83,99,25.81,1009,MH,1733001117
48,Fale old settlement,-9.3852,-171.2468,83.3,65,80,18.12,1010,TK,1733001119
49,Pingliang,35.5392,106.6861,32.72,34,0,4.74,1017,CN,1733001120
50,Qaqortoq,60.7167,-46.0333,16.7,62,100,9.35,1019,GL,1733001121
51,Puerto Baquerizo Moreno,-0.9,-89.6,79.79,61,40,18.41,1010,EC,1733001122
52,Saint-Pierre,-21.3393,55.4781,74.88,73,0,4.61,1015,RE,1733000897
53,Khandyga,62.6667,135.6,-5.28,100,100,1.63,1018,RU,1733001125
54,San Antonio de Palé,-1.4014,5.6325,79.29,85,100,9.84,1013,GQ,1733001126
55,Albany,42.6001,-73.9662,31.14,65,100,1.99,1014,US,1733001127
56,Hengchun,22.0042,120.7439,67.48,76,97,9.06,1014,TW,1733001128
57,Saynshand,44.8824,110.1163,23.5,75,91,22.59,1013,MN,1733001130
